ChanceOfAdmit,Predicted,Delta
0.81,0.8343514,0.024351420402526802
0.96,0.944426,0.01557399988174435
0.79,0.78248954,0.007510461807251012
0.93,0.90398204,0.026017956733703662
0.61,0.68312746,0.07312746286392213
0.59,0.54030454,0.04969545841217038
0.82,0.7900703,0.029929704666137646
0.56,0.72318137,0.16318136692047114
0.57,0.72522473,0.15522473335266118
0.9,0.86244726,0.03755273818969729
0.52,0.62970805,0.10970805168151854
0.78,0.79685074,0.01685074090957639
0.39,0.638409,0.24840901851654051
0.59,0.7100893,0.12008932590484622
0.45,0.71090305,0.2609030485153198
0.94,0.94775754,0.007757542133331352
0.87,0.8022659,0.06773411750793457
0.76,0.71949637,0.04050363063812257
0.84,0.8538609,0.013860914707183869
0.6,0.5067798,0.0932202100753784
0.96,0.952772,0.007227978706359828
0.49,0.6789986,0.18899858951568604
0.62,0.64128405,0.0212840485572815
0.64,0.689752,0.049751982688903795
0.58,0.5413206,0.038679378032684286
0.92,0.9442758,0.02427579641342159
0.66,0.7005477,0.04054769515991208
0.81,0.6983218,0.11167818069458013
0.71,0.7429466,0.03294662475585941
0.86,0.8700495,0.01004947662353517
0.8,0.7814655,0.018534529209137007
0.68,0.72647643,0.04647643089294429
0.78,0.7662222,0.013777821063995388
0.68,0.5378086,0.14219140291213994
0.82,0.73761845,0.0823815536499023
0.77,0.74403393,0.025966067314147967
0.74,0.6955655,0.04443447828292846
0.94,0.95221364,0.01221364498138433
0.34,0.45558774,0.11558774471282957
0.86,0.86740917,0.007409169673919691
0.82,0.83094716,0.010947160720825244
0.64,0.6586486,0.018648610115051256
0.66,0.6914468,0.031446781158447235
0.95,0.9422897,0.007710289955139116
0.75,0.6904433,0.05955672264099121
0.74,0.71000385,0.02999614715576171
0.74,0.6945308,0.04546921491622924
0.53,0.631153,0.10115298748016355
0.81,0.7681905,0.04180949687957769
0.64,0.62671566,0.01328433990478517
0.77,0.69833946,0.07166053771972658
0.79,0.7883855,0.0016144895553589222
0.46,0.44278073,0.017219266891479512
0.77,0.69786483,0.07213516950607302
0.62,0.6334293,0.013429288864135747
0.82,0.73062766,0.08937234401702876
0.71,0.7624833,0.05248329877853397
0.57,0.5879792,0.01797919750213628
0.62,0.6867867,0.0667867112159729
0.84,0.79125243,0.04874756574630734
0.73,0.7003046,0.029695372581481916
0.74,0.7732022,0.03320218086242677
0.61,0.640389,0.030389025211334242
0.7,0.66377145,0.03622854948043819
0.46,0.550206,0.09020600557327269
0.79,0.73831546,0.05168453693389896
0.81,0.83590543,0.025905432701110787
0.47,0.51146567,0.04146566867828372
0.83,0.84726167,0.017261667251586954
0.73,0.69307905,0.036920945644378644
0.79,0.6322047,0.1577952885627747
0.85,0.76973224,0.08026776313781736
0.78,0.8619932,0.08199319362640378
0.64,0.62506676,0.014933242797851576
0.89,0.8854898,0.004510178565979017
0.66,0.7038328,0.04383280515670773
0.77,0.73757136,0.03242864131927492
0.84,0.8575088,0.01750877857208255
0.7,0.70832485,0.008324849605560347
0.72,0.7093944,0.010605604648590061
0.87,0.81699955,0.05300044536590576
0.63,0.60133386,0.028666143417358403
0.9,0.8649696,0.03503038883209231
0.68,0.65575564,0.02424436092376714
0.71,0.73025274,0.02025274276733402
0.73,0.6667005,0.06329951763153074
0.43,0.519066,0.08906597614288331
0.64,0.6025181,0.03748191833496095
0.92,0.9109678,0.009032173156738321
0.87,0.80475116,0.06524884223937988
0.68,0.71299917,0.03299916505813594
0.94,0.9104236,0.02957642316818232
0.94,0.93350255,0.006497445106506294
0.76,0.7275481,0.03245187759399415
0.74,0.73934036,0.0006596350669860751
0.57,0.7197921,0.14979212760925298
0.71,0.6495714,0.06042858123779293
0.78,0.726601,0.053398995399475124
0.93,0.8900845,0.03991549491882329
0.65,0.682057,0.03205702304840086
